question,title,filename
"1. How do blocks, transactions, and state updates fit together in Ethereum's state-machine model?",Ethereum: a secure decentralized generalized transaction ledger,digital_currency__paper.json
"2. What makes an Ethereum account considered empty or dead, and why does that matter for state cleanup?",Ethereum: a secure decentralized generalized transaction ledger,digital_currency__paper.json
3. How do EIP-1559 base fees and priority fees differ for type 0/1 versus type 2 transactions?,Ethereum: a secure decentralized generalized transaction ledger,digital_currency__paper.json
"4. What checks must a transaction pass before execution, especially around nonce, gas, balance, and sender code?",Ethereum: a secure decentralized generalized transaction ledger,digital_currency__paper.json
"5. How do contract creation and message calls differ in how they handle initialization code, returned code, and errors?",Ethereum: a secure decentralized generalized transaction ledger,digital_currency__paper.json
1. How does replicating a state machine make a distributed service fault tolerant?,Implementing Fault-Tolerant Services Using the State Machine Approach: A Tutorial,distributed_systems__SMSurvey.json
2. Why does Byzantine failure handling need more replicas than fail-stop handling?,Implementing Fault-Tolerant Services Using the State Machine Approach: A Tutorial,distributed_systems__SMSurvey.json
3. What’s the difference between agreement and ordering when keeping replicas consistent?,Implementing Fault-Tolerant Services Using the State Machine Approach: A Tutorial,distributed_systems__SMSurvey.json
4. When can request ordering be relaxed because operations commute?,Implementing Fault-Tolerant Services Using the State Machine Approach: A Tutorial,distributed_systems__SMSurvey.json
5. How do reconfiguration and repaired components help a replicated service survive ongoing faults?,Implementing Fault-Tolerant Services Using the State Machine Approach: A Tutorial,distributed_systems__SMSurvey.json
1. How does PageRank treat a page with few backlinks from very important pages versus many links from obscure pages?,The PageRank Citation Ranking: Bringing Order to the Web,information_retrieval__the-pagerank-citation-ranking-bringing-order-to-the-web.json
"2. Why does the random-surfer model include a jump factor, and what problem does it solve in the link graph?",The PageRank Citation Ranking: Bringing Order to the Web,information_retrieval__the-pagerank-citation-ranking-bringing-order-to-the-web.json
"3. What is a dangling link, and why are dangling pages removed during PageRank computation?",The PageRank Citation Ranking: Bringing Order to the Web,information_retrieval__the-pagerank-citation-ranking-bringing-order-to-the-web.json
4. How does choosing different source distributions change PageRank into a personalized ranking?,The PageRank Citation Ranking: Bringing Order to the Web,information_retrieval__the-pagerank-citation-ranking-bringing-order-to-the-web.json
5. Why can PageRank improve search results for vague queries more than simple backlink counting?,The PageRank Citation Ranking: Bringing Order to the Web,information_retrieval__the-pagerank-citation-ranking-bringing-order-to-the-web.json
1. What’s the main difference between classic FRP behaviors/events and signal-function-based FRP?,Abstract,languages-paradigms__a-survey-of-functional-reactive-programming.json
2. How do signal functions help avoid the time and space leaks common in classic FRP?,Abstract,languages-paradigms__a-survey-of-functional-reactive-programming.json
3. Why does N-ary FRP use signal vectors instead of plain tuples of signals?,Abstract,languages-paradigms__a-survey-of-functional-reactive-programming.json
4. What makes event-driven or push-pull evaluation more efficient than constantly resampling FRP expressions?,Abstract,languages-paradigms__a-survey-of-functional-reactive-programming.json
5. How do dynamic collections and switching enable modular systems like games or synthesizers in FRP?,Abstract,languages-paradigms__a-survey-of-functional-reactive-programming.json
1. How does the distinction between propositions and assertions affect the way inference rules should be understood?,Per Martin-L¨ of,logic_and_programming__Martin-Lof83.json
2. Why does Martin-Löf treat knowing a judgement as essentially the same as having evidence for it?,Per Martin-L¨ of,logic_and_programming__Martin-Lof83.json
"3. What is the difference between a judgement and an evident judgement, and how does proof relate to that difference?",Per Martin-L¨ of,logic_and_programming__Martin-Lof83.json
"4. How are implication, conjunction, disjunction, and quantifiers explained in terms of what counts as a verification?",Per Martin-L¨ of,logic_and_programming__Martin-Lof83.json
